"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",2025-11-29,0.488265558702717,13.3407251840661,Inf,24.709279585922,0,1,1
"CADPH-CovidCAT_Ensemble",2025-12-06,0.886460807678154,32.5783906722864,0.693769285061272,36.719383780922,0.5,0.5,2
"CADPH-CovidCAT_Ensemble",2025-12-13,1.21496548365321,54.931084363733,1.11215003095336,72.187878092608,0.333333333333333,0.333333333333333,3
"CADPH-CovidCAT_Ensemble",2025-12-20,0.969553227677656,56.5828341833435,0.90754211656248,80.637572605948,0.25,0.5,4
"CADPH-CovidCAT_Ensemble",2025-12-27,1.04057734064173,67.5193482864476,1.16767893679299,97.9001736853185,0.25,0.5,4
"CADPH-CovidCAT_Ensemble",2026-01-03,0.366437675417031,28.1474231352328,0.357975193895179,39.7697420511343,0.75,1,4
"CADPH-CovidCAT_Ensemble",2026-01-10,0.481191676524318,27.0384293280925,0.441514385980024,34.3919536994465,0.75,1,4
"CADPH-CovidCAT_Ensemble",2026-01-17,1.08179823422999,42.6036204204877,1.46564842860303,64.9662654229872,0.25,1,4
"CADPH-CovidCAT_Ensemble",2026-01-24,1.12598033931702,53.1209420125434,1.35526703931715,88.0985508076032,0.25,1,4
"CADPH-CovidCAT_Ensemble",2026-01-31,1.04706089099143,54.473740580619,1.06563588184223,85.7747687680697,0.5,0.75,4
"CADPH-CovidCAT_Ensemble",2026-02-07,1.16427132688411,42.7932712770295,1.06792932476533,58.0662197117015,0.5,0.75,4
"CADPH-CovidCAT_Ensemble",2026-02-14,1.46947167490021,67.7284363869717,1.448761902417,101.168772808708,0,0.5,4
"CADPH-CovidCAT_Ensemble",2026-02-21,1.17744736991416,33.1737063146382,1.76324707534732,58.0636918488877,0.25,1,4
"CADPH-CovidCAT_Ensemble",2026-02-28,0.996339943467404,29.7331991292808,1.48936249804323,51.5950073035085,0.25,1,4
"CADPH-CovidCAT_Ensemble",2026-03-07,0.644535425960446,33.6040849958108,0.67543078925356,55.3794719856567,0,0.75,4
"CEPH-Rtrend_covid",2024-11-30,0.767837968669518,17.5247073578595,0.736425079330575,23.7307692307692,0.519230769230769,0.865384615384615,52
"CEPH-Rtrend_covid",2024-12-07,0.633714498372955,19.6300585284281,0.648787915824632,29.7692307692308,0.509615384615385,0.875,104
"CEPH-Rtrend_covid",2024-12-14,0.712050282673358,35.9082302118172,0.80121285030086,54.2435897435897,0.448717948717949,0.871794871794872,156
"CEPH-Rtrend_covid",2024-12-21,0.73749923068299,38.7562102842809,0.862739904656249,60.4903846153846,0.451923076923077,0.836538461538462,208
"CEPH-Rtrend_covid",2024-12-28,0.686417525357915,63.9496697324415,0.839835721527805,97.7596153846154,0.264423076923077,0.721153846153846,208
"CEPH-Rtrend_covid",2025-01-04,0.654330489760296,92.1046488294314,0.829407462459919,140.557692307692,0.173076923076923,0.682692307692308,208
"CEPH-Rtrend_covid",2025-01-11,0.795106449805336,52.8520317725753,0.870932622351513,81.3269230769231,0.485576923076923,0.913461538461538,208
