"model_id","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",0.000549663325272771,0.000776000287204232,0.475409836065574,0.852459016393443,64
"CFA_Pyrenew-Pyrenew_HE_COVID",0.000561102341340904,0.00080103403357963,0.474576271186441,0.847457627118644,62
"CMU-TimeSeries",0.0022334102650824,0.0028770413783415,0.372549019607843,0.882352941176471,112
"CovidHub-baseline",0.00153115339959404,0.00245181818181818,0.481818181818182,0.972727272727273,120
"CovidHub-ensemble",0.00035257170667202,0.000258258005281245,1,1,36
"UGA_flucast-INFLAenza",0.000695577815030341,0.00101793710236367,0.714285714285714,0.989795918367347,108
