"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",2026-02-14,0.894056115855673,34.5219529094891,0.976965003833144,55.6686174529695,0,0.75,4
"CADPH-CovidCAT_Ensemble",2026-02-21,0.830863631996177,33.0911593191462,1.03753329610177,51.2392533289777,0.666666666666667,0.666666666666667,4
"CADPH-CovidCAT_Ensemble",2026-02-28,0.615629390082338,21.7916927268841,0.6657363986138,38.155148734827,0,1,4
"CADPH-CovidCAT_Ensemble",2026-03-07,0.596946097413632,15.1636614456797,0.63191209554249,27.354975339467,0,1,4
"CEPH-Rtrend_covid",2026-02-14,1.05362336924382,15.864347826087,1.18281810591722,25.7788461538462,0.538461538461538,0.923076923076923,208
"CEPH-Rtrend_covid",2026-02-21,0.862027565022707,13.4142920847269,0.889056686287761,19.7564102564103,0.557692307692308,0.91025641025641,208
"CEPH-Rtrend_covid",2026-02-28,0.948110097166858,12.3510200668896,0.923579614865776,18.8461538461538,0.5,0.884615384615385,208
"CEPH-Rtrend_covid",2026-03-07,1.1351794964907,13.5405602006689,1.12763777702381,20.9230769230769,0.403846153846154,0.769230769230769,208
"CFA-EpiAutoGP",2026-02-14,0.932306176245682,14.3745752881226,0.991463928605976,22.0613970369792,0.588541666666667,0.979166666666667,192
"CFA-EpiAutoGP",2026-02-21,1.27591603568339,19.7185868973153,1.31088625582766,28.6024238126389,0.5,0.930555555555556,192
"CFA-EpiAutoGP",2026-02-28,1.21992162347578,15.797585689976,1.24663047345484,25.2675267208333,0.458333333333333,0.927083333333333,192
"CFA-EpiAutoGP",2026-03-07,1.35933871116344,16.3600167929713,1.33873914922888,25.3673968354167,0.354166666666667,0.854166666666667,192
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-14,0.83419620695845,12.9257734347826,0.903492487835376,20.2,0.48,0.96,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-21,0.830623797529828,12.2609065896739,0.862743802352143,18.8125,0.53125,0.958333333333333,96
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-28,0.689706035194061,8.89092613043478,0.671553096226146,13.55,0.6,0.96,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-07,0.684157978592001,8.58564347826087,0.658199756327448,13.27,0.5,0.9,100
"CFA_Pyrenew-Pyrenew_H_COVID",2026-02-14,1.2903529546265,19.0717230605286,1.40349972265703,30.3088235294118,0.46078431372549,0.92156862745098,102
"CFA_Pyrenew-Pyrenew_H_COVID",2026-02-21,1.20135200622039,18.1892327196096,1.20336017384444,27.5867346938776,0.489795918367347,0.938775510204082,98
"CFA_Pyrenew-Pyrenew_H_COVID",2026-02-28,1.1871562722264,15.2242344629156,1.13867254607956,22.5245098039216,0.607843137254902,0.970588235294118,102
"CFA_Pyrenew-Pyrenew_H_COVID",2026-03-07,0.936352758604933,11.5689762148338,0.938875485899847,18.1666666666667,0.549019607843137,0.980392156862745,102
"CMU-TimeSeries",2026-02-14,0.95178376956009,14.0342634046737,0.952014710785331,19.9146832330358,0.552884615384615,0.975961538461538,208
"CMU-TimeSeries",2026-02-21,0.795002318123448,12.1532455293922,0.787291536047503,17.2108830434642,0.57051282051282,0.935897435897436,208
"CMU-TimeSeries",2026-02-28,0.886579866853781,11.0977340215315,0.839317714999572,16.3750541898431,0.403846153846154,0.894230769230769,208
"CMU-TimeSeries",2026-03-07,0.813422492076751,9.47141844480068,0.808925677382882,14.7384716591165,0.480769230769231,0.961538461538462,208
"CovidHub-baseline",2026-02-14,1,14.9944057613196,1,21.3942307692308,0.677884615384615,0.995192307692308,208
"CovidHub-baseline",2026-02-21,1,15.6158555997355,1,22.5192307692308,0.641025641025641,0.961538461538462,208
"CovidHub-baseline",2026-02-28,1,12.8991897042114,1,20.0673076923077,0.538461538461538,0.990384615384615,208
"CovidHub-baseline",2026-03-07,1,11.8568281174137,1,18.8076923076923,0.519230769230769,1,208
"CovidHub-ensemble",2026-02-14,0.861225005606219,12.5681979129963,0.967220644689733,20.171472103093,0.524038461538462,0.971153846153846,208
"CovidHub-ensemble",2026-02-21,0.860193829113188,13.0811790548133,0.909249526369336,19.6664863102634,0.557692307692308,0.955128205128205,208
"CovidHub-ensemble",2026-02-28,0.760858375738007,9.6641482350774,0.736339692526238,14.5182804771108,0.586538461538462,0.951923076923077,208
"CovidHub-ensemble",2026-03-07,0.825147479938911,9.64296967167878,0.841014655559051,15.3553090271549,0.461538461538462,0.942307692307692,208
"Google_SAI-Ensemble",2026-02-14,1.00252446747362,14.4934891983696,1.11000960766886,23.1087740384615,0.384615384615385,0.947115384615385,208
"Google_SAI-Ensemble",2026-02-21,0.895066956692835,13.4290543251812,0.948951320372154,20.4487179487179,0.391025641025641,0.91025641025641,208
