"model_id","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",0.000685826044599266,0.00107221596116504,0.575301204819277,0.975903614457831,486
"CFA_Pyrenew-Pyrenew_HE_COVID",0.000728921244064832,0.00112732100551192,0.573573573573574,0.981981981981982,487
"CMU-TimeSeries",0.000890988652226762,0.00137855305096544,0.440816326530612,0.940816326530612,980
"CovidHub-baseline",0.00103908644084955,0.0015058,0.73,0.998,1000
"CovidHub-ensemble",0.000741131170495601,0.00115038648578992,0.512244897959184,0.969387755102041,990
"UGA_flucast-INFLAenza",0.00068496687205433,0.00106697027116621,0.536734693877551,0.971428571428571,980
