"model_id","reference_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",2025-06-28,0.000115794328879947,8.15238295050909e-05,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-06-21,0.000467095581386696,0.000725241806818841,0,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-05,0.000798029443924121,0.00111171986435568,0,0,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-19,0.000405614051697924,0.000736043828206408,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-12,0.0002269981966306,0.000368965928893903,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-02,0.000257144251004154,0.00032143251295105,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-26,0.000563219817564921,0.00101821637646005,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-23,0.000480054076474955,0.000790636242155903,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-09,0.000285061697746423,0.00036485695376681,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-30,0.000658247726603594,0.00121467768873748,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-16,0.000702227567913221,0.00125882874018143,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-20,0.00038167262988746,0.000604417998779257,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-06,0.00100749469199738,0.00129115842404924,0.5,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-13,0.000265034200232448,0.000242970786054952,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-27,0.000462676381786468,0.000748070091510599,0,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-11-22,0.000139266233822569,0.000203075496012428,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-11-29,0.000353173902245181,0.000643106278869762,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-06,0.000117907733079962,0.000143378339331843,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-13,0.000256639085760593,0.000415997452249799,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-20,0.0010329573934495,0.00154418854310674,0,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-27,0.00141998605846377,0.00178337968027794,0,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-03,0.00402868312045756,0.00509591218614312,0,0,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-10,0.000217960892709582,0.000299123681304422,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-17,0.0006157157370266,0.00110603863017103,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-24,0.000232668070906402,0.000181454617092225,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-31,0.000385959174269858,0.000601039691966254,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-07,0.000189967824943736,0.000114451645121989,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-14,0.000185625302614604,7.68438392886868e-05,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-21,0.000321154981591311,0.000541840454635187,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-28,0.000157938072829768,1.43444492914755e-05,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-07,6.55263858363793e-05,5.01454048789599e-05,1,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-06-28,0.00012033372805462,0.000103184612629546,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-05,0.000806360528762994,0.00112000155258589,0,0,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-12,0.000395254913373671,0.000732880813773813,0,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-19,0.000418558713228624,0.00077737590235117,0,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-26,0.000461421917714615,0.000846281893593698,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-09,0.000277111650587198,7.54047776676953e-05,1,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-02,0.000238923023052308,0.000207062157482675,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-16,0.000552844343022958,0.000973583394445476,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-23,0.000647391488098176,0.00105604375267789,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-30,0.000632678027696308,0.00115654436680159,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-09-13,0.000268236047812719,0.000308061934971633,0.5,1,2
