"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_covid",0,0.995187905591572,493.314476284585,1.17288759568294,829.113636363636,0.409090909090909,0.954545454545455,45
"CEPH-Rtrend_covid",1,1.05531222444425,787.344823053589,1.39533123813841,1321.6976744186,0.395348837209302,1,45
"CEPH-Rtrend_covid",2,1.09699374314654,1152.11395445135,1.32681994128785,1923.97619047619,0.357142857142857,0.952380952380952,45
"CEPH-Rtrend_covid",3,1.10382449365492,1547.38794273595,1.23461373877415,2571.87804878049,0.341463414634146,0.902439024390244,45
"CFA-EpiAutoGP",0,1.30400518974934,644.984039667391,1.44724277679149,963.782725,0.4,0.8,21
"CFA-EpiAutoGP",1,1.32653215063339,1183.10624609611,1.50202166687257,1673.99968947368,0.368421052631579,0.684210526315789,21
"CFA-EpiAutoGP",2,1.3214070734162,1658.45553016425,1.29019584336941,2329.30803333333,0.388888888888889,0.722222222222222,21
"CFA-EpiAutoGP",3,1.33211310668112,2159.58732949361,1.19351808313215,3181.72002352941,0.235294117647059,0.764705882352941,21
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.670746926021515,343.810041497585,0.736647032765193,534.455555555556,0.444444444444444,0.866666666666667,46
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.773390772741605,611.320695750988,0.91583913484746,911.079545454545,0.431818181818182,0.863636363636364,46
"CFA_Pyrenew-Pyrenew_H_COVID",0,1.43052870834332,676.226221545894,1.48207240511629,1002.35555555556,0.0888888888888889,0.6,46
"CFA_Pyrenew-Pyrenew_H_COVID",1,1.33731304012701,939.844433547431,1.59882381489034,1456.25,0.181818181818182,0.681818181818182,46
"CMU-TimeSeries",0,0.977892691420898,476.592348237664,1.08227246923226,753.932124256925,0.733333333333333,1,46
"CMU-TimeSeries",1,0.947609085810895,709.795144097075,1.09231837838547,1101.80593125188,0.636363636363636,1,46
"CMU-TimeSeries",2,0.957100786680221,1027.00500396803,0.910124572022933,1526.82078866787,0.604651162790698,1,46
"CMU-TimeSeries",3,0.993328757208134,1415.79214866245,0.837041144297185,2065.60574489807,0.642857142857143,0.976190476190476,46
"CMU-climate_baseline",0,2.5228814336505,1185.78317604109,2.76659662494977,1888.32083418268,0.517241379310345,1,29
"CMU-climate_baseline",1,1.7752519582816,1172.370806255,2.15598082459539,1785.34938981707,0.551724137931034,1,29
"CMU-climate_baseline",2,1.29952434521638,1170.79355344884,1.47282527458109,1768.65374891823,0.586206896551724,1,29
"CMU-climate_baseline",3,1.00206378077326,1204.92757006191,1.07187834560569,1817.41760944014,0.586206896551724,1,29
"CovidHub-baseline",0,1,549.159915626111,1,805.666666666667,0.511111111111111,0.955555555555556,46
"CovidHub-baseline",1,1,824.659793070107,1,1193.34090909091,0.522727272727273,0.954545454545455,46
"CovidHub-baseline",2,1,1117.76962255936,1,1672.3488372093,0.534883720930233,0.930232558139535,46
"CovidHub-baseline",3,1,1400.84884995752,1,2137.21428571429,0.547619047619048,0.857142857142857,46
"CovidHub-ensemble",0,0.899665224175809,443.329264265843,1.0617621289585,750.79137252487,0.4,1,46
"CovidHub-ensemble",1,0.844995936346951,657.297886272319,1.08980311728602,1103.41976648813,0.5,0.977272727272727,46
"CovidHub-ensemble",2,0.792996277156834,895.487626097879,0.869525444222178,1453.17585800391,0.465116279069767,0.953488372093023,46
"CovidHub-ensemble",3,0.712629457120049,1093.07637514902,0.661357179226951,1697.18676063842,0.523809523809524,0.928571428571429,46
"Google_SAI-Ensemble",0,1.39422785417534,672.659298755857,1.23968141549957,844.305138209237,0.25,0.625,8
"Google_SAI-Ensemble",1,0.940284897248064,558.235999553937,0.95816723904766,679.834583291899,0.5,0.5,8
"Google_SAI-Ensemble",2,1.1090037794447,748.760095506331,1.16603035203634,975.354311038839,0,0.5,8
"Google_SAI-Ensemble",3,1.22683428138309,927.788987522043,1.07887983275596,1178.44352798859,0,0.25,8
"JHU_CSSE-CSSE_Ensemble",0,1.23096062965921,563.989035157975,1.42002135921132,977.511219632042,0.25,1,8
"JHU_CSSE-CSSE_Ensemble",1,1.0197143273549,495.153429778258,1.41281270137036,836.073109312832,0.5,1,8
"JHU_CSSE-CSSE_Ensemble",2,0.737129968133868,427.756885214719,0.808520428155996,619.602676560413,0.875,1,8
"JHU_CSSE-CSSE_Ensemble",3,0.550797321363224,416.418062036316,0.418469681686914,421.038220416399,1,1,8
"MOBS-GLEAM_COVID",0,2.03917124346547,797.58784115942,2.4609172963482,1408.26622222222,0,0.833333333333333,18
"MOBS-GLEAM_COVID",1,2.06067360494844,1001.32215004831,2.73673266870002,1637.9605,0,0.611111111111111,18
"MOBS-GLEAM_COVID",2,2.00084083174935,1254.56724990338,2.28329732009588,1924.43538888889,0,0.555555555555556,18
"MOBS-GLEAM_COVID",3,1.92078912584549,1620.55964669082,1.91044415248818,2318.97866666667,0,0.5,18
"Metaculus-cp",0,2.73570398238981,1350.08685768123,2.60495137918556,2018.10938512534,0.25,1,4
"Metaculus-cp",1,2.53240828827324,1409.61930486121,2.34999357018348,1559.89841804509,0.666666666666667,1,3
"Metaculus-cp",2,2.38291429901532,1602.55316739372,1.53351639583665,1529.30525244329,0.666666666666667,1,3
"Metaculus-cp",3,1.97722903168275,1731.16717181936,1.01345802529492,1265.82399775296,0.5,1,2
"NEU_ISI-AdaptiveEnsemble",0,1.0797207940312,674.514755434783,1.12453011792865,1019.8125,0.375,0.84375,32
"NEU_ISI-AdaptiveEnsemble",1,0.993154800637406,905.717201086956,1.21536349989238,1400.0625,0.21875,0.8125,32
"NEU_ISI-AdaptiveEnsemble",2,0.869890200388658,1098.33353436185,0.98500650177796,1780.41935483871,0.129032258064516,0.806451612903226,32
"NEU_ISI-AdaptiveEnsemble",3,0.799204242877097,1241.44113604488,0.800801992050435,2022.32258064516,0.161290322580645,0.709677419354839,32
