"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_covid","US",1.06621373469864,984.666800511509,1.26501424140073,1644.51764705882,0.376470588235294,0.952941176470588,180
"CFA-EpiAutoGP","US",1.30700380366259,1377.62004883137,1.32398811101554,1987.81667027027,0.351351351351351,0.743243243243243,84
"CFA_Pyrenew-Pyrenew_HE_COVID","US",0.666592625694257,476.062499780166,0.699536501000544,720.651685393258,0.438202247191011,0.865168539325843,92
"CFA_Pyrenew-Pyrenew_H_COVID","US",1.25441017794897,806.554326355642,1.29500159747176,1226.75280898876,0.134831460674157,0.640449438202247,92
"CMU-TimeSeries","US",0.967002777381984,898.288088651807,0.961804882957717,1349.51230899472,0.655172413793103,0.994252873563218,184
"CMU-climate_baseline","US",1.51991678732927,1183.46877645171,1.69345995631996,1814.93539558953,0.560344827586207,1,116
"CovidHub-baseline","US",1,964.925129692689,1,1439.28735632184,0.528735632183908,0.925287356321839,184
"CovidHub-ensemble","US",0.80455107788164,766.012066473635,0.893206839068007,1241.97981224183,0.471264367816092,0.96551724137931,184
"Google_SAI-Ensemble","US",1.14650241680625,726.861095334542,1.05658422555238,919.484390132142,0.1875,0.46875,32
"JHU_CSSE-CSSE_Ensemble","US",0.837129376549719,475.829353046817,0.908772583689837,713.556306480422,0.65625,1,32
"MOBS-GLEAM_COVID","US",1.98021855087821,1168.50922195048,2.23372738281622,1822.41019444444,0,0.625,72
"Metaculus-cp","US",2.31160469803248,1491.59993259404,1.76732596652598,1655.97471228937,0.5,1,12
"NEU_ISI-AdaptiveEnsemble","US",0.915530820310685,976.987598343685,0.996540449213757,1550.16666666667,0.222222222222222,0.793650793650794,128
"OHT_JHU-nbxd","US",0.797988319402421,704.739373826087,0.849617775002603,1091.594,0.593333333333333,0.96,160
"UGA_flucast-INFLAenza","US",0.66429346376291,615.171873320158,0.725878255824875,988.922077922078,0.38961038961039,0.922077922077922,164
"UM-DeepOutbreak","US",1.49665840640343,1162.93553722131,1.37666902349634,1585.75505445606,0.612244897959184,0.897959183673469,108
"UMass-ar6_pooled","US",0.878072679958109,778.118690456017,0.937351369516448,1210.63128197993,0.517241379310345,0.903448275862069,155
"UMass-gbqr","US",1.00543531140215,875.906631603956,1.08685860021218,1355.62698135362,0.268965517241379,0.903448275862069,155
