"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",2025-11-29,0.488265558702717,13.3407251840661,Inf,24.709279585922,0,1,1
"CADPH-CovidCAT_Ensemble",2025-12-06,0.886460807678154,32.5783906722864,0.693769285061272,36.719383780922,0.5,0.5,2
"CADPH-CovidCAT_Ensemble",2025-12-13,1.21496548365321,54.931084363733,1.11215003095336,72.187878092608,0.333333333333333,0.333333333333333,3
"CADPH-CovidCAT_Ensemble",2025-12-20,0.969553227677656,56.5828341833435,0.90754211656248,80.637572605948,0.25,0.5,4
"CADPH-CovidCAT_Ensemble",2025-12-27,1.04057734064173,67.5193482864476,1.16767893679299,97.9001736853185,0.25,0.5,4
"CADPH-CovidCAT_Ensemble",2026-01-03,0.366437675417031,28.1474231352328,0.357975193895179,39.7697420511343,0.75,1,4
"CADPH-CovidCAT_Ensemble",2026-01-10,0.481191676524318,27.0384293280925,0.441514385980024,34.3919536994465,0.75,1,4
"CADPH-CovidCAT_Ensemble",2026-01-17,1.08179823422999,42.6036204204877,1.46564842860303,64.9662654229872,0.25,1,4
"CADPH-CovidCAT_Ensemble",2026-01-24,1.12598033931702,53.1209420125434,1.35526703931715,88.0985508076032,0.25,1,4
"CADPH-CovidCAT_Ensemble",2026-01-31,1.04706089099143,54.473740580619,1.06563588184223,85.7747687680697,0.5,0.75,4
"CADPH-CovidCAT_Ensemble",2026-02-07,1.16427132688411,42.7932712770295,1.06792932476533,58.0662197117015,0.5,0.75,4
"CADPH-CovidCAT_Ensemble",2026-02-14,1.46947167490021,67.7284363869717,1.448761902417,101.168772808708,0,0.5,4
"CADPH-CovidCAT_Ensemble",2026-02-21,1.17744736991416,33.1737063146382,1.76324707534732,58.0636918488877,0.25,1,4
"CADPH-CovidCAT_Ensemble",2026-02-28,0.996339943467404,29.7331991292808,1.48936249804323,51.5950073035085,0.25,1,4
"CADPH-CovidCAT_Ensemble",2026-03-07,0.644535425960446,33.6040849958108,0.67543078925356,55.3794719856567,0,0.75,4
"CEPH-Rtrend_covid",2025-03-15,1.14956507090474,19.7783612040134,1.19949291462241,30.1923076923077,0.346153846153846,0.884615384615385,52
"CEPH-Rtrend_covid",2025-03-22,1.21886360203662,24.1901212374582,1.20045261973664,33.4903846153846,0.509615384615385,0.865384615384615,104
"CEPH-Rtrend_covid",2025-03-29,1.18755901674464,29.4722324414716,1.1904485355474,42.3397435897436,0.474358974358974,0.852564102564103,156
"CEPH-Rtrend_covid",2025-04-05,1.00455741764154,22.2196258361204,1.07556110394422,34.5673076923077,0.490384615384615,0.942307692307692,208
"CEPH-Rtrend_covid",2025-04-12,0.887828075690452,22.3492224080268,0.869372649936308,33.7067307692308,0.514423076923077,0.903846153846154,208
"CEPH-Rtrend_covid",2025-04-19,1.02217530654926,20.942491638796,1.05912705496043,32.0576923076923,0.504807692307692,0.899038461538462,208
"CEPH-Rtrend_covid",2025-04-26,1.14620182541805,19.6971676421405,1.28746123698138,31.3509615384615,0.451923076923077,0.865384615384615,208
