"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble","06",0.839225987106375,29.6108336494843,0.97444048175222,48.0057502607932,0.2,0.8,20
"CEPH-Rtrend_covid","01",0.356148736878314,10.5587826086957,0.406343243886618,16.4,0.6,0.9,20
"CEPH-Rtrend_covid","02",0.929192863076712,1.58913043478261,1.01943142132901,2.7,0.5,0.9,20
"CEPH-Rtrend_covid","04",0.874131616469089,9.58469565217391,0.733823053642464,7.9,0.9,1,20
"CEPH-Rtrend_covid","05",1.28493238222778,11.6177391304348,1.33430703208616,19.3,0.1,0.7,20
"CEPH-Rtrend_covid","06",0.854005853030574,29.5589130434783,0.880399458809801,43,0.4,0.9,20
"CEPH-Rtrend_covid","08",0.931950171197314,10.9445652173913,0.91347970083419,18,0.3,1,20
"CEPH-Rtrend_covid","09",0.755615231885059,11.1496086956522,0.659749468372678,15.6,0.6,1,20
"CEPH-Rtrend_covid","10",0.748843822279517,2.29060869565217,0.420971724936001,1.7,1,1,20
"CEPH-Rtrend_covid","11",0.736705709122803,2.20591304347826,0.610245554880147,2.6,0.8,1,20
"CEPH-Rtrend_covid","12",1.04369210992158,29.393,1.38244549613512,42.6,0.8,1,20
"CEPH-Rtrend_covid","13",1.38483974519404,27.4449565217391,1.23758784196387,40.2,0.4,0.8,20
"CEPH-Rtrend_covid","15",1.28703160280263,2.24134782608696,3.00172570700747,3.6,0.2,1,20
"CEPH-Rtrend_covid","16",1.31852241131764,6.14113043478261,1.26760586897709,9.3,0.3,0.7,20
"CEPH-Rtrend_covid","17",0.702642317150402,31.0380869565217,0.656110695578869,50.3,0.7,1,20
"CEPH-Rtrend_covid","18",1.06913437434112,21.3533913043478,1.07183078167801,34.2,0.4,1,20
"CEPH-Rtrend_covid","19",0.729648086974818,6.34882608695652,0.602356002763086,9,0.6,1,20
"CEPH-Rtrend_covid","20",1.03769754502797,10.0121304347826,1.02171568776712,15.5,0.4,0.9,20
"CEPH-Rtrend_covid","21",1.41626530813323,17.9955652173913,1.51117396815812,31.1,0.4,1,20
"CEPH-Rtrend_covid","22",1.312021719295,10.0369130434783,2.4557464377011,16.7,0.7,1,20
"CEPH-Rtrend_covid","23",1.01444505449534,5.88478260869565,0.959275326496874,9,0.4,0.8,20
"CEPH-Rtrend_covid","24",0.817677499902381,7.25086956521739,0.815195498659329,11.1,0.8,1,20
"CEPH-Rtrend_covid","25",0.9799370369319,16.5253043478261,1.05654124423846,25.2,0.6,0.9,20
"CEPH-Rtrend_covid","26",1.01276277976772,36.7503913043478,1.13498001819127,59.7,0.4,1,20
"CEPH-Rtrend_covid","27",0.720609666189987,8.84747826086956,0.657930662218541,12.4,0.8,1,20
"CEPH-Rtrend_covid","28",0.954514682959175,11.1969130434783,0.896504935676342,17.4,0.3,0.7,20
"CEPH-Rtrend_covid","29",1.17493267610364,18.7325217391304,1.51995648813546,33.2,0.2,0.9,20
"CEPH-Rtrend_covid","30",0.676692654542667,3.16295652173913,0.699339140638072,5.2,0.7,1,20
"CEPH-Rtrend_covid","31",0.969017988928369,4.22947826086957,0.999359727005561,6.1,0.9,1,20
"CEPH-Rtrend_covid","32",0.802049493601369,2.71986956521739,1.11369333182311,4.1,0.6,0.9,20
"CEPH-Rtrend_covid","33",1.12435863205413,11.2159565217391,1.1111279011,17.5,0.4,0.8,20
"CEPH-Rtrend_covid","34",1.16007792864668,24.8788695652174,1.32963370720128,43.2,0.5,1,20
"CEPH-Rtrend_covid","35",0.706022063637777,4.19886956521739,0.737578662069317,6.8,0.6,0.9,20
"CEPH-Rtrend_covid","36",1.42789958405451,60.4296956521739,1.47491117034652,98.6,0.1,0.7,20
"CEPH-Rtrend_covid","37",1.66385528031686,34.9925217391304,1.52195158004207,51.5,0.3,0.6,20
"CEPH-Rtrend_covid","38",0.959149563645565,4.97926086956522,0.959897812705905,7.7,0.4,0.9,20
"CEPH-Rtrend_covid","39",0.771006761349374,28.5288260869565,0.804285382796603,50.1,0.5,1,20
"CEPH-Rtrend_covid","40",0.982473176410089,15.9830869565217,1.00147299089601,24,0.4,0.9,20
"CEPH-Rtrend_covid","41",0.888461912595551,4.18195652173913,1.03762565877534,6.4,0.4,0.9,20
"CEPH-Rtrend_covid","42",0.917924290872229,41.3497391304348,1.12534161838362,68,0.6,1,20
"CEPH-Rtrend_covid","44",0.916820455519596,5.73939130434783,0.868868631331807,7.8,0.7,0.8,20
"CEPH-Rtrend_covid","45",1.46651231012573,20.251,1.49766429927098,29.6,0.5,0.8,20
"CEPH-Rtrend_covid","46",0.610455557973691,3.32382608695652,0.475777452799489,4.3,0.7,0.9,20
"CEPH-Rtrend_covid","47",1.4073348481465,15.3068260869565,2.34431254157923,29.4,0.2,1,20
"CEPH-Rtrend_covid","48",0.765284210818522,22.4082173913043,0.786587577479341,29.4,0.8,1,20
"CEPH-Rtrend_covid","49",0.818205487053662,2.9724347826087,0.941051104968544,4.7,0.8,0.9,20
"CEPH-Rtrend_covid","50",0.8109429577652,1.69408695652174,1.15625752004788,2.8,0.6,1,20
"CEPH-Rtrend_covid","51",0.998164867939403,11.5824347826087,1.56446271460595,19.3,0.6,1,20
"CEPH-Rtrend_covid","53",1.13680273000385,10.6644782608696,1.08012283447979,16.9,0.4,0.7,20
"CEPH-Rtrend_covid","54",0.608045719958663,5.87282608695652,0.461283960206151,6.4,0.9,1,20
"CEPH-Rtrend_covid","55",0.832066874865788,20.8112608695652,0.851289529404699,33.3,0.5,0.9,20
"CEPH-Rtrend_covid","56",1.17740687384623,9.20973913043478,1.0258724464936,13.1,0.2,0.4,20
"CEPH-Rtrend_covid","72",1.19542923818654,10.7217391304348,1.14843522885123,15.3,0.3,0.5,20
"CFA-EpiAutoGP","01",1.15916871379727,35.1432260834829,0.999769525447837,40.407822652,0.5,0.7,20
"CFA-EpiAutoGP","02",0.720524178368662,1.24330000677217,0.648873573432588,1.68350037,0.8,1,20
"CFA-EpiAutoGP","04",1.19940056350975,13.6309218785217,1.89767157035981,21.9355491,0.3,0.9,20
"CFA-EpiAutoGP","05",1.12245128990299,10.1118018478739,1.14816504083325,16.4369154,0.3,0.8,20
"CFA-EpiAutoGP","06",1.41770972931867,51.0319269534783,1.54050963353192,77.187927,0.3,0.9,20
