"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",0.885976102033984,44.2475352559598,0.901207438931284,66.2585267448421,0.333333333333333,0.777777777777778,64
"CEPH-Rtrend_covid",1.02385566782531,32.5171054325628,1.09996825200336,49.1374234172907,0.409462219196732,0.828284547311096,12272
"CFA-EpiAutoGP",1.05993917185576,29.7366640061272,1.13289485368698,44.5667230829448,0.49634009009009,0.927927927927928,4032
"CFA_Pyrenew-PyrenewHEW_COVID",0.791368849412143,13.4198267234626,0.854320063714649,20.3484234234234,0.463513513513513,0.898198198198198,2220
"CFA_Pyrenew-Pyrenew_HE_COVID",0.760987256994681,14.1117412096176,0.813267963844953,21.3971248876909,0.474618149146451,0.918238993710692,4602
"CFA_Pyrenew-Pyrenew_HW_COVID",1.00587020940846,16.6613353103568,1.07681539835665,25.07000723589,0.524602026049204,0.942474674384949,2764
"CFA_Pyrenew-Pyrenew_H_COVID",1.05442127175115,22.6952726561647,1.13166234344419,34.5444444444444,0.47207729468599,0.920966183574879,5324
"CMU-TimeSeries",0.936548214791307,29.1969527533762,1.01155243642265,44.2244973458969,0.46358066712049,0.930905377808033,12272
"CMU-climate_baseline",2.11684876478422,67.4597334749522,2.11193831319822,99.435836830659,0.580471611721612,0.976533882783883,8736
"CovidHub-baseline",1,31.2285176824326,1,44.2794313438536,0.562792642140468,0.893394648829431,12480
"CovidHub-ensemble",0.798199553522731,24.9370677702798,0.877904770961074,38.572219854276,0.505685618729097,0.938795986622074,12480
"Google_SAI-Ensemble",0.898986017177887,17.9570159049905,0.938392855207527,26.9748138322064,0.432283142389525,0.944148936170213,5408
"JHU_CSSE-CSSE_Ensemble",1.22191155623676,49.8054996972887,1.24945248419817,69.9995246350502,0.464163822525597,0.850398179749716,3516
"MOBS-GLEAM_COVID",1.28426208651704,39.0768919694153,1.31761243125804,55.5863268965517,0.266379310344828,0.658965517241379,5800
"NEU_ISI-AdaptiveEnsemble",0.966699740224885,32.2846367055933,1.05761434747508,49.5193114102847,0.376848377841536,0.798388876627676,9561
"OHT_JHU-nbxd",1.14348522611057,33.4434231974705,1.20761463805414,49.4260184839432,0.35726288274832,0.771657953696789,11232
"UGA_flucast-INFLAenza",0.811510428084722,18.8253536876614,0.891383517630887,29.2791504381694,0.465920155793574,0.91784323271665,8736
"UM-DeepOutbreak",1.16914704618266,37.4601151044451,1.14364580111815,51.8542286149163,0.614135864135864,0.917082917082917,8528
"UMass-ar6_pooled",0.895220375470957,27.3749020150947,0.955462659602022,41.3680923915045,0.557596632223498,0.945082280903176,10972
"UMass-gbqr",0.933691800598999,29.0390907195555,0.986994627521939,42.6226383002787,0.413892078071183,0.865480290853425,10972
