"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_covid",0,0.886665236057572,661.020494752624,1.09360965821075,1107.08620689655,0.413793103448276,0.96551724137931,59
"CEPH-Rtrend_covid",1,0.945835095662721,1021.99465293669,1.2506720470063,1669.9649122807,0.421052631578947,1,59
"CEPH-Rtrend_covid",2,0.98172906290608,1417.65008540373,1.30013324543681,2396.71428571429,0.375,0.964285714285714,59
"CEPH-Rtrend_covid",3,1.03907500103907,1827.37852173913,1.31096800036064,3088.69090909091,0.4,0.927272727272727,59
"CFA-EpiAutoGP",0,1.14031973777508,644.984039667391,1.308450187737,963.782725,0.4,0.8,21
"CFA-EpiAutoGP",1,1.16730393340712,1183.10624609611,1.3514148252077,1673.99968947368,0.368421052631579,0.684210526315789,21
"CFA-EpiAutoGP",2,1.18057507139132,1658.45553016425,1.29665313572867,2329.30803333333,0.388888888888889,0.722222222222222,21
"CFA-EpiAutoGP",3,1.25537312083952,2159.58732949361,1.35673595191058,3181.72002352941,0.235294117647059,0.764705882352941,21
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.588101926108439,345.591362334594,0.671659837210765,540.152173913043,0.434782608695652,0.869565217391304,47
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.690185747497513,614.385995990338,0.835612328845604,922.5,0.422222222222222,0.866666666666667,47
"CFA_Pyrenew-Pyrenew_H_COVID",0,1.30621345283306,806.585092370796,1.47124929946903,1255.89622641509,0.0754716981132075,0.660377358490566,54
"CFA_Pyrenew-Pyrenew_H_COVID",1,1.26876273431036,1130.83737336957,1.57674683802161,1801.95192307692,0.230769230769231,0.730769230769231,54
"CMU-TimeSeries",0,0.933267967284649,683.207861690206,1.08721934059731,1085.41681536573,0.724137931034483,1,59
"CMU-TimeSeries",1,0.921015572649691,983.939045172844,1.08990007500897,1477.92454055503,0.649122807017544,1,59
"CMU-TimeSeries",2,0.944894094104932,1376.58757031095,1.03698532972285,2022.42115276022,0.625,1,59
"CMU-TimeSeries",3,1.03166450996721,1818.7847363986,1.04981389969568,2631.20666808077,0.672727272727273,0.981818181818182,59
"CMU-climate_baseline",0,3.08793334512393,2583.50206735109,3.84750329385731,4636.2427673553,0.428571428571429,1,42
"CMU-climate_baseline",1,2.1384165844525,2495.0357832757,2.88853317914728,4394.38976271521,0.452380952380952,1,42
"CMU-climate_baseline",2,1.59463998795476,2368.2612601107,2.0898934371573,4023.76277776927,0.476190476190476,1,42
"CMU-climate_baseline",3,1.24566176103237,2228.36068380681,1.52034472417228,3640.39661702701,0.5,1,42
"CovidHub-baseline",0,1,781.776696198816,1,1066.79661016949,0.474576271186441,0.864406779661017,60
"CovidHub-baseline",1,1,1130.30445485503,1,1481.87931034483,0.5,0.879310344827586,60
"CovidHub-baseline",2,1,1468.36679754255,1,1961.80701754386,0.543859649122807,0.859649122807018,60
"CovidHub-baseline",3,1,1754.85930289584,1,2404.05357142857,0.553571428571429,0.803571428571429,60
"CovidHub-ensemble",0,0.815548580112965,601.010058380363,1.01406517794715,1017.18734833848,0.423728813559322,1,60
