"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",0.843348770276804,44.2475352559598,0.848445959269881,66.2585267448421,0.333333333333333,0.777777777777778,64
"CEPH-Rtrend_covid",1.03225101731039,26.6934752606728,1.09090980705721,39.9410633484163,0.389819004524887,0.811425339366516,9360
"CFA-EpiAutoGP",1.00894188353456,29.7366640061272,1.06656915973555,44.5667230829448,0.49634009009009,0.927927927927928,4032
"CFA_Pyrenew-PyrenewHEW_COVID",0.753293395222415,13.4198267234626,0.804303620530977,20.3484234234234,0.463513513513513,0.898198198198198,2220
"CFA_Pyrenew-Pyrenew_HE_COVID",0.724966473152611,14.0620879038051,0.765494602974479,21.2892381826526,0.475217989903626,0.918081688848095,4508
"CFA_Pyrenew-Pyrenew_HW_COVID",0.957474363264665,16.6613353103568,1.01377289417265,25.07000723589,0.524602026049204,0.942474674384949,2764
"CFA_Pyrenew-Pyrenew_H_COVID",0.980428118822429,19.2714808739867,1.05374948918839,29.5855367231638,0.459887005649718,0.91819209039548,4574
"CMU-TimeSeries",0.868499910578342,21.9126604447183,0.944931828016656,34.0793297396294,0.445954907161804,0.93158709106985,9568
"CMU-climate_baseline",1.98634973008695,47.7928732446474,1.66994430064405,54.9261656926914,0.621684350132626,0.982592838196287,6032
"CovidHub-baseline",1,25.3754181430606,1,36.5750440840505,0.605437665782493,0.936339522546419,9568
"CovidHub-ensemble",0.768545075813719,19.3091563655383,0.847022644107213,30.4799459482276,0.506189213085765,0.94893899204244,9568
"Google_SAI-Ensemble",0.855732734034774,17.9570159049905,0.883454343378163,26.9748138322064,0.432283142389525,0.944148936170213,5408
"JHU_CSSE-CSSE_Ensemble",0.879491472650967,17.9475757314293,0.925509734618221,26.7940678451187,0.472285067873303,0.885180995475113,1768
"MOBS-GLEAM_COVID",1.32045211781881,24.3845288391158,1.33862523747911,34.4337606621773,0.237654320987654,0.629068462401796,3564
"NEU_ISI-AdaptiveEnsemble",0.900881246484119,23.2922662489716,0.987724448133673,36.3826783114993,0.387045123726346,0.821542940320233,7369
"OHT_JHU-nbxd",1.08700961153569,24.7349296694537,1.1684722819078,37.8432474358974,0.400128205128205,0.82051282051282,8320
"UGA_flucast-INFLAenza",0.767687899984942,18.6899470771077,0.834365609611515,29.0695554445554,0.465659340659341,0.917082917082917,8528
"UM-DeepOutbreak",1.22067885585559,27.4738637325259,1.17973094638769,38.3379366251312,0.642857142857143,0.919937205651491,5616
"UMass-ar6_pooled",0.904507452575792,21.1243889720077,0.962372738435208,32.3834774049557,0.576923076923077,0.958885941644562,8060
"UMass-gbqr",0.89142118448025,21.1227804949085,0.950492000497706,31.8252143953459,0.431167108753316,0.888726790450928,8060
