"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-PyrenewHEW_COVID",0,0.000655447472187113,0.0010053202845382,0.484316185696361,0.913425345043915,815
"CFA_Pyrenew-PyrenewHEW_COVID",1,0.00120157803928724,0.00187622606401801,0.460476787954831,0.94228356336261,815
"CFA_Pyrenew-Pyrenew_E_COVID",0,0.000631509368449859,0.00098315525685885,0.483221476510067,0.922818791946309,1570
"CFA_Pyrenew-Pyrenew_E_COVID",1,0.00121711378671823,0.00191174423455058,0.443828016643551,0.925797503467406,1570
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.000662985463530798,0.00102870103082531,0.464808362369338,0.920557491289199,1514
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.0012734661863662,0.00198942020245629,0.461815561959654,0.927953890489914,1515
"CMU-TimeSeries",0,0.000924408532231984,0.0014109827860071,0.421727395411606,0.910931174089069,1531
"CMU-TimeSeries",1,0.00148434668190534,0.00230623097060566,0.413119330076762,0.89672016748081,1531
"CMU-TimeSeries",2,0.00204417300460663,0.0031958490273456,0.401011560693642,0.877890173410405,1531
"CMU-TimeSeries",3,0.00259247705236026,0.00399270343669192,0.417977528089888,0.838951310861423,1531
"CovidHub-baseline",0,0.00097403016825041,0.0014331724137931,0.601379310344828,0.976551724137931,1500
"CovidHub-baseline",1,0.00151500836210953,0.00229828571428571,0.606428571428571,0.965714285714286,1500
"CovidHub-baseline",2,0.00200538199040449,0.00311444376777101,0.568148148148148,0.954814814814815,1500
"CovidHub-baseline",3,0.0024314280345881,0.00383476883711145,0.537692307692308,0.945384615384615,1500
"CovidHub-ensemble",0,0.000566813299377263,0.000867442628918325,0.591836734693878,0.977040816326531,450
"CovidHub-ensemble",1,0.000787060827112455,0.00122142847613441,0.556851311953353,0.979591836734694,450
"CovidHub-ensemble",2,0.000854746175059979,0.00129714125297845,0.639455782312925,0.982993197278912,441
"CovidHub-ensemble",3,0.000918209695306445,0.0013159004498111,0.673469387755102,0.995918367346939,441
"UGA_flucast-INFLAenza",0,0.000727477452590659,0.00112348442323243,0.51883830455259,0.942700156985871,1323
"UGA_flucast-INFLAenza",1,0.00103134762747138,0.00160233417763738,0.48734693877551,0.916734693877551,1323
"UGA_flucast-INFLAenza",2,0.00131724206749829,0.00202744515624882,0.446428571428571,0.908163265306122,1323
"UGA_flucast-INFLAenza",3,0.00155450294683852,0.00239309637652049,0.444543034605146,0.888198757763975,1323
