reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-28,wk inc rsv hosp,0,2026-02-28,04,quantile,0.975,192.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,04,quantile,0.99,204.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.01,21.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.025,35.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.05,40.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.1,51.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.15,53.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.2,58.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.25,58.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.3,60.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.35,63.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.4,63.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.45,63.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.5,65.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.55,66.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.6,66.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.65,67.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.7,75.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.75,78.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.8,78.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.85,78.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.9,81.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.95,87.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.975,100.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,05,quantile,0.99,100.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.01,148.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.025,277.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.05,359.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.1,417.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.15,434.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.2,466.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.25,494.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.3,496.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.35,499.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.4,519.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.45,576.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.5,576.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.55,579.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.6,587.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.65,587.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.7,619.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.75,619.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.8,619.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.85,643.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.9,653.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.95,653.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.975,739.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,06,quantile,0.99,809.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.01,106.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.025,134.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.05,159.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.1,174.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.15,182.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.2,197.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.25,199.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.3,207.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.35,216.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.4,219.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.45,227.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.5,227.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.55,238.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.6,250.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.65,256.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.7,298.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.75,298.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.8,298.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.85,317.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.9,317.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.95,318.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.975,347.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,08,quantile,0.99,371.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.01,37.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.025,51.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.05,67.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.1,80.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.15,87.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.2,95.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.25,99.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.3,101.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.35,101.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.4,106.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.45,106.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.5,110.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.55,118.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.6,118.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.65,118.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.7,136.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.75,143.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.8,143.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.85,143.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.9,143.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.95,149.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.975,169.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,09,quantile,0.99,188.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.01,6.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.025,12.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.05,18.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.1,21.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.15,23.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.2,24.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.25,25.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.3,25.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.35,25.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.4,25.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.45,26.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.5,27.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.55,27.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.6,27.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.65,28.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.7,32.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.75,34.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.8,34.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.85,34.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.9,36.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.95,42.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.975,44.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,10,quantile,0.99,62.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.01,4.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.025,6.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.05,6.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.1,8.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.15,9.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.2,10.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.25,10.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.3,10.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.35,11.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.4,11.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.45,12.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.5,13.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.55,14.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.6,14.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.65,14.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.7,15.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.75,16.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.8,17.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.85,20.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.9,21.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.95,22.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.975,25.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,11,quantile,0.99,25.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.01,63.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.025,131.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.05,207.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.1,260.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.15,271.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.2,274.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.25,280.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.3,306.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.35,310.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.4,313.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.45,313.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.5,313.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.55,323.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.6,331.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.65,344.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.7,368.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.75,368.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.8,368.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.85,385.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.9,395.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.95,420.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.975,471.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,12,quantile,0.99,536.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.01,76.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.025,128.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.05,144.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.1,163.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.15,169.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.2,183.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.25,183.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.3,187.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.35,191.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.4,194.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.45,194.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.5,200.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.55,212.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.6,212.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.65,212.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.7,229.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.75,230.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.8,238.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.85,250.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.9,254.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.95,299.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.975,343.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,13,quantile,0.99,379.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.01,5.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.025,8.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.05,10.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.1,12.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.15,13.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.2,14.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.25,15.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.3,16.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.35,16.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.4,17.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.45,17.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.5,19.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.55,19.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.6,20.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.65,20.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.7,21.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.75,22.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.8,24.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.85,24.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.9,26.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.95,31.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.975,39.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,15,quantile,0.99,42.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.01,12.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.025,17.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.05,21.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.1,25.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.15,29.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.2,32.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.25,33.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.3,34.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.35,34.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.4,35.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.45,36.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.5,37.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.55,38.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.6,39.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.65,41.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.7,43.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.75,45.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.8,45.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.85,51.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.9,51.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.95,54.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.975,61.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,16,quantile,0.99,65.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.01,99.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.025,230.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.05,270.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.1,299.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.15,299.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.2,320.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.25,335.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.3,341.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.35,341.0
