"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",0,0.979783443763403,28.8799690077389,0.974825010337444,43.3450359869355,0.25,0.75,5
"CADPH-CovidCAT_Ensemble",1,0.576053877501807,19.318670131546,0.720464643532402,34.7414991787193,0.333333333333333,1,5
"CADPH-CovidCAT_Ensemble",2,0.86430734821413,48.1704518295745,0.925181260830514,78.070619424751,0,0.5,5
"CADPH-CovidCAT_Ensemble",3,0.467529827437886,26.2915464101002,0.587318512234636,46.31162227453,0,1,5
"CEPH-Rtrend_covid",0,1.00111945134115,11.9440447324415,1.00461220208069,18.4855769230769,0.447115384615385,0.826923076923077,260
"CEPH-Rtrend_covid",1,1.01336705173478,15.1841192865106,1.08981280518789,23.6153846153846,0.519230769230769,0.916666666666667,260
"CEPH-Rtrend_covid",2,0.936431779922694,16.1062959866221,1.04468754143129,25.4326923076923,0.625,0.971153846153846,260
"CEPH-Rtrend_covid",3,0.819500700285887,16.4017391304348,0.83837572044906,25.3461538461538,0.634615384615385,0.961538461538462,260
"CFA-EpiAutoGP",0,1.06744245377806,13.160872833456,1.0846247277981,20.2901058833333,0.484375,0.927083333333333,240
"CFA-EpiAutoGP",1,1.18394954844918,17.4890137068363,1.25213909069077,26.71117731875,0.5,0.930555555555556,240
"CFA-EpiAutoGP",2,1.23779346883656,20.1299870873038,1.25689571416048,29.218418191875,0.583333333333333,0.958333333333333,240
"CFA-EpiAutoGP",3,1.07488352553016,19.2387433884189,1.17288415753517,30.2245179895833,0.520833333333333,1,240
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.705421447954877,8.80837454984629,0.732810041524407,13.9974747474747,0.48989898989899,0.94949494949495,248
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.897625033590758,13.8104121768508,0.926652421056028,20.7635135135135,0.587837837837838,0.952702702702703,248
"CFA_Pyrenew-Pyrenew_H_COVID",0,1.18966342664334,14.2923078346965,1.20387217325895,22.2153465346535,0.49009900990099,0.940594059405941,251
"CFA_Pyrenew-Pyrenew_H_COVID",1,1.27964811940277,19.7596296573568,1.34884873126874,30.0099337748344,0.56953642384106,0.960264900662252,251
"CMU-TimeSeries",0,0.838802008587149,10.1248838135642,0.834806296251909,15.5120102014565,0.466346153846154,0.947115384615385,260
"CMU-TimeSeries",1,0.857106515532591,12.3824288516623,0.855744451550355,17.9915699491429,0.532051282051282,0.92948717948718,260
"CMU-TimeSeries",2,0.868218510247823,14.1735419155466,0.844194845428312,19.365109204576,0.615384615384615,0.961538461538462,260
"CMU-TimeSeries",3,1.03559679453613,18.2697710543979,0.95200054355222,24.0269930389319,0.519230769230769,0.961538461538462,260
"CovidHub-baseline",0,1,11.9262306184002,1,18.1875,0.519230769230769,0.971153846153846,260
"CovidHub-baseline",1,1,14.7962833158754,1,21.5833333333333,0.66025641025641,0.993589743589744,260
"CovidHub-baseline",2,1,16.7898161696178,1,23.6346153846154,0.721153846153846,0.990384615384615,260
"CovidHub-baseline",3,1,18.8069926098588,1,27.3076923076923,0.730769230769231,1,260
"CovidHub-ensemble",0,0.893498253089484,10.7162711794753,0.9058591742184,16.5944383695119,0.495192307692308,0.9375,260
"CovidHub-ensemble",1,0.856078108061376,12.6429855126965,0.94338434971682,20.0750742910835,0.564102564102564,0.961538461538462,260
"CovidHub-ensemble",2,0.800992016446971,13.2040057262319,0.867214060720751,20.3863804558987,0.567307692307692,0.990384615384615,260
"CovidHub-ensemble",3,0.619872792385676,11.2855422498043,0.642975313956403,16.7014800614431,0.596153846153846,0.980769230769231,260
"Google_SAI-Ensemble",0,1.01637128720894,12.2311544458089,1.02123772276823,18.7605168269231,0.360576923076923,0.908653846153846,260
"Google_SAI-Ensemble",1,0.901258050178608,13.4479360298216,0.975854466046916,20.9611378205128,0.416666666666667,0.91025641025641,260
"Google_SAI-Ensemble",2,0.778051375736031,12.8661307535535,0.860255721000745,20.4092548076923,0.432692307692308,0.980769230769231,260
"Google_SAI-Ensemble",3,0.607288214002173,10.8938531406773,0.671101676596491,17.3353365384615,0.480769230769231,0.980769230769231,260
"NEU_ISI-AdaptiveEnsemble",0,0.967695132743332,11.3356217391304,0.959648473414903,17.175,0.395,0.795,249
"NEU_ISI-AdaptiveEnsemble",1,0.856959760371971,12.5197753136854,0.897589753798958,18.8657718120805,0.530201342281879,0.832214765100671,249
"NEU_ISI-AdaptiveEnsemble",2,0.89517131045788,14.5709982253771,1.00197147017013,23.2755102040816,0.561224489795918,0.948979591836735,249
"NEU_ISI-AdaptiveEnsemble",3,0.865891787072484,16.2468608695652,0.90131626883928,24.22,0.52,0.96,249
"OHT_JHU-nbxd",0,1.2568372013426,15.0270026128763,1.26351763131202,22.9516826923077,0.302884615384615,0.730769230769231,260
"OHT_JHU-nbxd",1,1.13572525218206,16.8643692586399,1.2986448174065,27.8225641025641,0.301282051282051,0.852564102564103,260
"OHT_JHU-nbxd",2,1.0070584261383,17.2350128762542,1.18899116948219,29.0150961538462,0.25,0.884615384615385,260
"OHT_JHU-nbxd",3,0.836762872032643,16.1756363712375,0.970217348276099,27.4788461538462,0.346153846153846,0.923076923076923,260
"UGA_flucast-INFLAenza",0,1.00525655002154,12.0268296195652,1.02293053096336,18.5360576923077,0.475961538461538,0.918269230769231,260
