"model_id","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-PyrenewHEW_COVID",0.000928512755737174,0.00144077317427811,0.472396486825596,0.927854454203262,1630
"CFA_Pyrenew-Pyrenew_E_COVID",0.00091951808984924,0.00143984874452306,0.463847203274216,0.924283765347885,3140
"CFA_Pyrenew-Pyrenew_HE_COVID",0.000963143891903286,0.00150106313150678,0.463336875664187,0.924194119730783,3029
"CMU-TimeSeries",0.00173715558097527,0.00268889236982081,0.413560525381612,0.882144124955627,6124
"CovidHub-baseline",0.00170935956053218,0.00263370883177014,0.579454545454545,0.961090909090909,6000
"CovidHub-ensemble",0.000760132988911438,0.0011481496204313,0.609105180533752,0.982731554160126,1782
"UGA_flucast-INFLAenza",0.00114352532501415,0.00176498826382572,0.475635152019992,0.914827155351937,5292
