"model_id","reference_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-21,0.000801169366048788,0.00128635892893162,0.565217391304348,0.967391304347826,94
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-14,0.00078751105063974,0.00126318451633393,0.489583333333333,0.989583333333333,98
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-28,0.000641729505878302,0.000952219246031915,0.625,0.958333333333333,98
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-07,0.000349574410515328,0.000519831592874227,0.666666666666667,1,98
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-14,0.000875588677340622,0.00139738066340022,0.540816326530612,0.979591836734694,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-28,0.000672996284913067,0.000986320990036822,0.610526315789474,0.968421052631579,97
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-21,0.000809945459332002,0.00126372305499217,0.565217391304348,0.989130434782609,94
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-07,0.000384863636852555,0.000593574473113946,0.583333333333333,1,98
"CMU-TimeSeries",2026-02-14,0.000936704571702909,0.00147615055092414,0.48469387755102,0.979591836734694,196
"CMU-TimeSeries",2026-02-21,0.000957882365976999,0.00148274086430984,0.421768707482993,0.931972789115646,196
"CMU-TimeSeries",2026-02-28,0.000899649742736834,0.00134846764997343,0.336734693877551,0.887755102040816,196
"CMU-TimeSeries",2026-03-07,0.000490121652051319,0.00073577041308142,0.530612244897959,0.918367346938776,196
"CovidHub-baseline",2026-02-14,0.00108087631450908,0.0014975,0.82,1,200
"CovidHub-baseline",2026-02-21,0.00109911086331942,0.00162866666666667,0.713333333333333,1,200
"CovidHub-baseline",2026-02-28,0.00104560035628689,0.001609,0.56,0.99,200
"CovidHub-baseline",2026-03-07,0.000678825847927175,0.000964,0.76,1,200
"CovidHub-ensemble",2026-02-21,0.000827740971176706,0.00129424549368499,0.45578231292517,0.965986394557823,198
"CovidHub-ensemble",2026-02-28,0.000696031405570616,0.0010481824406687,0.510204081632653,0.938775510204082,198
"CovidHub-ensemble",2026-02-14,0.000784592965200854,0.00123649354184219,0.530612244897959,0.979591836734694,198
"CovidHub-ensemble",2026-03-07,0.000397654119481247,0.000578789328138031,0.612244897959184,1,198
"UGA_flucast-INFLAenza",2026-02-14,0.000679294888853736,0.0010709991377301,0.576530612244898,0.974489795918367,196
"UGA_flucast-INFLAenza",2026-02-21,0.000733052672945005,0.00112543828702686,0.496598639455782,0.965986394557823,196
"UGA_flucast-INFLAenza",2026-02-28,0.000709467929148889,0.00110574525898357,0.489795918367347,0.959183673469388,196
"UGA_flucast-INFLAenza",2026-03-07,0.000514395287995565,0.000797900781694027,0.591836734693878,1,196
