"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",0,1.07022661933769,30.7477531057299,1.08606029468325,44.9668146801008,0.266666666666667,0.733333333333333,16
"CADPH-CovidCAT_Ensemble",1,0.936999042888705,40.9349061794316,0.936065411380613,60.2834327204889,0.428571428571429,0.785714285714286,16
"CADPH-CovidCAT_Ensemble",2,0.927443192161033,53.7357572399508,0.984256835545089,82.6969834411013,0.307692307692308,0.769230769230769,16
"CADPH-CovidCAT_Ensemble",3,0.791677061440952,54.7080897170396,0.809218352106847,82.0357817665665,0.333333333333333,0.833333333333333,16
"CEPH-Rtrend_covid",0,0.968090754072157,20.6363883923423,1.00060188699526,30.2407161803714,0.342838196286472,0.74237400530504,3068
"CEPH-Rtrend_covid",1,0.9964403054794,28.0991600657161,1.08384750135112,42.9051956815115,0.422739541160594,0.847165991902834,3068
"CEPH-Rtrend_covid",2,1.03722347540028,36.7219781712852,1.13529544184671,55.9601648351648,0.447802197802198,0.871909340659341,3068
"CEPH-Rtrend_covid",3,1.09221148839966,45.3431345393737,1.18875788766088,68.5769230769231,0.426923076923077,0.854895104895105,3068
"CFA-EpiAutoGP",0,1.01454112104209,16.8719382046601,1.09441798835992,25.5945831792708,0.510416666666667,0.930208333333333,1008
"CFA-EpiAutoGP",1,1.06021213800487,26.3374337229858,1.14579152537095,39.9970980964912,0.484649122807018,0.922149122807018,1008
"CFA-EpiAutoGP",2,1.09680834679661,34.8902739315859,1.1714456975069,51.9547686063889,0.505787037037037,0.93287037037037,1008
"CFA-EpiAutoGP",3,1.12031764380954,43.2140118149961,1.19382877060405,64.171479164951,0.482843137254902,0.926470588235294,1008
"CFA_Pyrenew-PyrenewHEW_COVID",0,0.794099613767724,10.6567922835879,0.85971950820055,16.35,0.483783783783784,0.9,1110
"CFA_Pyrenew-PyrenewHEW_COVID",1,0.827452776486471,16.1828611633373,0.891323450779471,24.3468468468468,0.443243243243243,0.896396396396396,1110
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.753370408234459,11.5641032072702,0.8066817238268,17.6450466459351,0.475344291426033,0.913816081741448,2301
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.80512912538652,16.7172537690378,0.858988287791316,25.234438891413,0.473875511131304,0.922762380736029,2301
"CFA_Pyrenew-Pyrenew_HW_COVID",0,0.983107357173697,13.3838318630844,1.05525015921797,20.434515195369,0.508683068017366,0.932706222865412,1382
"CFA_Pyrenew-Pyrenew_HW_COVID",1,1.07327030910839,19.9388387576291,1.14614588010262,29.705499276411,0.540520984081042,0.952243125904486,1382
"CFA_Pyrenew-Pyrenew_H_COVID",0,1.05230513970943,18.8064121582722,1.12766524815046,28.6301186375813,0.44316877152698,0.907003444316877,2662
"CFA_Pyrenew-Pyrenew_H_COVID",1,1.10912477928993,26.6615460679496,1.19092040504678,40.5765027322404,0.501561280249805,0.935206869633099,2662
"CMU-TimeSeries",0,0.89819805112026,19.0271700072425,0.942058830608663,28.2343403243844,0.434018567639257,0.93236074270557,3068
"CMU-TimeSeries",1,0.906108473012311,25.30198241995,0.981856659245785,38.5260104796211,0.460526315789474,0.932523616734143,3068
"CMU-TimeSeries",2,0.957214178824806,32.6063113852881,1.03381189977397,49.4072736644935,0.469093406593407,0.931318681318681,3068
"CMU-TimeSeries",3,1.02692088182391,40.4867095696304,1.11811605041052,61.7155407056067,0.492307692307692,0.927272727272727,3068
"CMU-climate_baseline",0,2.98995040977579,69.7595890118424,3.03412095426105,106.91068054596,0.5746336996337,0.97985347985348,2184
"CMU-climate_baseline",1,2.27008364208462,68.5818161169219,2.29948641235569,103.200320775308,0.573260073260073,0.978021978021978,2184
"CMU-climate_baseline",2,1.78594700841025,66.8334835337898,1.85434334946018,96.81574973955,0.581043956043956,0.97481684981685,2184
"CMU-climate_baseline",3,1.48055992492701,64.6640452372547,1.50547713790739,90.8165962618183,0.592948717948718,0.973443223443223,2184
"CovidHub-baseline",0,1,21.1343113525554,1,29.9207953063885,0.502607561929596,0.878748370273794,3120
"CovidHub-baseline",1,1,28.1306757463304,1,39.7194959590511,0.572612732095491,0.898541114058355,3120
"CovidHub-baseline",2,1,35.0821525913568,1,49.6963562381913,0.581983805668016,0.897773279352227,3120
"CovidHub-baseline",3,1,41.1495143957898,1,58.6164145501345,0.596497252747253,0.899038461538462,3120
"CovidHub-ensemble",0,0.828128082177516,17.7208959891201,0.899229735317364,27.1921932969029,0.455019556714472,0.919491525423729,3120
"CovidHub-ensemble",1,0.79468052573402,22.4770898812172,0.879314548671353,34.7841098320875,0.514257294429708,0.937002652519894,3120
"CovidHub-ensemble",2,0.808700629615028,27.8189904445579,0.889709015456817,43.1999259271474,0.519568151147099,0.951417004048583,3120
"CovidHub-ensemble",3,0.796591298406426,32.1542688456403,0.87672292083105,49.7749466760309,0.536057692307692,0.948145604395604,3120
"Google_SAI-Ensemble",0,1.03150717085406,15.3491580898958,1.06236931455622,22.687695744449,0.386153846153846,0.930769230769231,1352
"Google_SAI-Ensemble",1,0.880093019048587,16.8578858879997,0.907159695876803,24.7366142708308,0.481570512820513,0.956730769230769,1352
"Google_SAI-Ensemble",2,0.837021098483157,19.2806882892557,0.896078283164599,29.4489890423965,0.436454849498328,0.949832775919732,1352
"Google_SAI-Ensemble",3,0.831133892705933,20.7357023116744,0.889257327028863,31.7015734609598,0.426573426573427,0.939685314685315,1352
"JHU_CSSE-CSSE_Ensemble",0,1.36470583150856,42.7989071781999,1.34917206315401,58.3878079828551,0.40386803185438,0.811149032992036,879
"JHU_CSSE-CSSE_Ensemble",1,1.28282761794661,46.6316274923153,1.31405682308311,65.0883824311307,0.455062571103527,0.84641638225256,879
"JHU_CSSE-CSSE_Ensemble",2,1.29680409533099,52.23782800486,1.33180144006266,74.6374866151485,0.491467576791809,0.873720136518771,879
"JHU_CSSE-CSSE_Ensemble",3,1.22956408620868,57.5536361137797,1.26645571250314,81.8844215110665,0.506257110352674,0.870307167235495,879
"MOBS-GLEAM_COVID",0,1.19831291340195,26.9895956095952,1.27195692065046,40.3675910344828,0.332413793103448,0.743448275862069,1450
"MOBS-GLEAM_COVID",1,1.25284044136423,35.350292247976,1.29735019924968,50.5021689655172,0.28,0.671724137931034,1450
"MOBS-GLEAM_COVID",2,1.29563915075472,43.4273880884558,1.30973037073252,60.9372675862069,0.237241379310345,0.639310344827586,1450
"MOBS-GLEAM_COVID",3,1.3901010158381,50.5402919316342,1.3863929229717,70.53828,0.215862068965517,0.581379310344828,1450
"NEU_ISI-AdaptiveEnsemble",0,1.03015704646886,22.768416162057,1.10981758278411,34.8281053952321,0.379757423672104,0.780008364700962,2440
"NEU_ISI-AdaptiveEnsemble",1,0.943961646258359,28.570793204872,1.04553249639827,44.4219427580226,0.373373807458803,0.793581960104076,2406
"NEU_ISI-AdaptiveEnsemble",2,0.939721627445486,35.4794449334037,1.04337105358921,54.82995951417,0.369770580296896,0.813765182186235,2374
"NEU_ISI-AdaptiveEnsemble",3,0.980906356462696,43.5896543254983,1.06405509766337,65.8944911297853,0.38468720821662,0.80812324929972,2341
"OHT_JHU-nbxd",0,1.23958168739175,25.6552181106834,1.29381680085232,37.3230406386067,0.354862119013062,0.746008708272859,2808
"OHT_JHU-nbxd",1,1.16647627537588,31.3942522334062,1.24020767840366,46.5858875739645,0.354289940828402,0.780325443786982,2808
"OHT_JHU-nbxd",2,1.15758564840144,36.503564548495,1.22002502906066,54.2861274509804,0.363876319758673,0.774132730015083,2808
"OHT_JHU-nbxd",3,1.11346515007202,40.7087142140468,1.17211082891531,60.2516,0.356153846153846,0.787307692307692,2808
"UGA_flucast-INFLAenza",0,0.896052906891475,14.1380917784893,0.975651100286459,21.8684333958724,0.474202626641651,0.909943714821764,2184
"UGA_flucast-INFLAenza",1,0.825940092636766,17.354708382107,0.909965302090658,27.0466346153846,0.476442307692308,0.916826923076923,2184
"UGA_flucast-INFLAenza",2,0.791410374390493,20.7489689509905,0.871159209921312,32.353057199211,0.463510848126233,0.928007889546351,2184
"UGA_flucast-INFLAenza",3,0.763291064389335,23.4564735620929,0.840484491280656,36.4701417004049,0.448380566801619,0.917004048582996,2184
"UM-DeepOutbreak",0,1.16793138407884,26.6845128278822,1.15163183368529,37.1412947606312,0.558653846153846,0.917788461538461,2132
"UM-DeepOutbreak",1,1.18187218448719,35.2715439612102,1.15596971290412,49.0764342220219,0.596153846153846,0.906804733727811,2132
"UM-DeepOutbreak",2,1.17748397175049,41.6226928068013,1.12653369915472,56.9222016824286,0.625506072874494,0.912955465587045,2132
"UM-DeepOutbreak",3,1.19277645517631,47.1412073465841,1.18241644584958,65.4831031805599,0.681392931392931,0.931392931392931,2132
"UMass-ar6_pooled",0,0.906128544828991,19.3774777256548,0.959574769324643,29.0257045732493,0.494452662721893,0.909763313609467,2756
"UMass-ar6_pooled",1,0.897879122048068,24.9957462054332,0.95588636449175,37.4905092910653,0.551659125188537,0.945324283559578,2756
"UMass-ar6_pooled",2,0.90200662824585,30.4486936638532,0.962063188108998,46.1148475305675,0.585,0.961538461538462,2756
"UMass-ar6_pooled",3,0.894951506189499,35.3647650756298,0.965703350008446,53.9144079689737,0.603766025641026,0.965945512820513,2704
"UMass-gbqr",0,0.940674320591851,20.2473205478911,1.01168506794994,30.4819510007041,0.412352071005917,0.887573964497041,2756
"UMass-gbqr",1,0.951605459997852,26.6384277913093,1.0177673589878,39.4486037820887,0.407239819004525,0.8710407239819,2756
"UMass-gbqr",2,0.953136107702506,32.5195599605334,0.994594485506723,47.6368685996502,0.415384615384615,0.863076923076923,2756
"UMass-gbqr",3,0.922496198673942,37.4887239741017,0.953793156708964,53.9243046552162,0.421073717948718,0.838141025641026,2704
